Name	N_interval	Total_length
interval_001.interval_list	7	29248717
interval_002.interval_list	1	92422623
interval_003.interval_list	4	3153905
interval_004.interval_list	1	80374347
interval_005.interval_list	2	25287485
interval_006.interval_list	3	32904622
interval_007.interval_list	1	56413053
interval_008.interval_list	6	6537933
interval_009.interval_list	1	141414040
interval_010.interval_list	1	3279481
interval_011.interval_list	1	90555294
interval_012.interval_list	6	3015762
interval_013.interval_list	1	104529984
interval_014.interval_list	8	49399212
interval_015.interval_list	2	9120691
interval_016.interval_list	1	131201739
interval_017.interval_list	1	31433
interval_018.interval_list	15	47618443
interval_019.interval_list	1	89342851
interval_020.interval_list	2	42023598
interval_021.interval_list	1	58393887
interval_022.interval_list	4	36060043
interval_023.interval_list	1	72520602
interval_024.interval_list	1	3104585
interval_025.interval_list	1	227845
interval_026.interval_list	1	57879410
interval_027.interval_list	6	4084226
interval_028.interval_list	1	81144024
interval_029.interval_list	1	15635168
interval_030.interval_list	4	45667261
interval_031.interval_list	1	39736956
interval_032.interval_list	1	59364413
interval_033.interval_list	29	49603814
interval_034.interval_list	2	2075359
interval_035.interval_list	1	65962539
interval_036.interval_list	1	4149180
interval_037.interval_list	14	47397575
interval_038.interval_list	1	76250831
interval_039.interval_list	2	9615918
interval_040.interval_list	1	50761347
interval_041.interval_list	3	36699851
interval_042.interval_list	1	47073725
interval_043.interval_list	7	37255401
interval_044.interval_list	1	94842901
interval_045.interval_list	1	1040946
interval_046.interval_list	2	2238104
interval_047.interval_list	1	67794872
interval_048.interval_list	4	27951345
interval_049.interval_list	9	1246187
interval_050.interval_list	1	87272004
interval_051.interval_list	6	5987826
interval_052.interval_list	1	60993191
interval_053.interval_list	1	17661122
interval_054.interval_list	11	37959070
interval_055.interval_list	1	43847662
interval_056.interval_list	16	26661846
interval_057.interval_list	1	54806561
interval_058.interval_list	3	1453034
interval_059.interval_list	6	46849870
interval_060.interval_list	2	33242417
interval_061.interval_list	3	24399752
interval_062.interval_list	1	31366741
interval_063.interval_list	23	35929295
interval_064.interval_list	1	28019447
interval_065.interval_list	28	38038707
interval_066.interval_list	25	37072060
interval_067.interval_list	6	49530259
interval_068.interval_list	2	12083576
interval_069.interval_list	1	51818655
interval_070.interval_list	5	41461905
interval_071.interval_list	44	23636579
